,State,Abbreviation,Year,variable,value
1039,Michigan,MI,1980,Annual Change (%),6.37
1040,Michigan,MI,1981,Annual Change (%),4.08
1041,Michigan,MI,1982,Annual Change (%),-12.27
1042,Michigan,MI,1983,Annual Change (%),4.79
1043,Michigan,MI,1984,Annual Change (%),0.88
1044,Michigan,MI,1985,Annual Change (%),4.21
1045,Michigan,MI,1986,Annual Change (%),7.49
1046,Michigan,MI,1987,Annual Change (%),8.76
1047,Michigan,MI,1988,Annual Change (%),8.69
1048,Michigan,MI,1989,Annual Change (%),6.84
1049,Michigan,MI,1990,Annual Change (%),4.83
1050,Michigan,MI,1991,Annual Change (%),3.27
1051,Michigan,MI,1992,Annual Change (%),2.35
1052,Michigan,MI,1993,Annual Change (%),1.86
1053,Michigan,MI,1994,Annual Change (%),4.56
1054,Michigan,MI,1995,Annual Change (%),7.97
1055,Michigan,MI,1996,Annual Change (%),6.57
1056,Michigan,MI,1997,Annual Change (%),7.80
1057,Michigan,MI,1998,Annual Change (%),4.85
1058,Michigan,MI,1999,Annual Change (%),5.90
1059,Michigan,MI,2000,Annual Change (%),7.99
1060,Michigan,MI,2001,Annual Change (%),5.02
1061,Michigan,MI,2002,Annual Change (%),3.12
1062,Michigan,MI,2003,Annual Change (%),1.96
1063,Michigan,MI,2004,Annual Change (%),3.16
1064,Michigan,MI,2005,Annual Change (%),3.30
1065,Michigan,MI,2006,Annual Change (%),-1.25
1066,Michigan,MI,2007,Annual Change (%),-4.41
1067,Michigan,MI,2008,Annual Change (%),-6.94
1068,Michigan,MI,2009,Annual Change (%),-8.13
1069,Michigan,MI,2010,Annual Change (%),-7.80
1070,Michigan,MI,2011,Annual Change (%),-3.83
1071,Michigan,MI,2012,Annual Change (%),-0.65
1072,Michigan,MI,2013,Annual Change (%),5.57
1073,Michigan,MI,2014,Annual Change (%),8.00
1074,Michigan,MI,2015,Annual Change (%),4.86
1075,Michigan,MI,2016,Annual Change (%),5.29
1076,Michigan,MI,2017,Annual Change (%),6.72
1077,Michigan,MI,2018,Annual Change (%),6.35
1078,Michigan,MI,2019,Annual Change (%),4.84
1079,Michigan,MI,2020,Annual Change (%),2.99
1080,Michigan,MI,2021,Annual Change (%),11.37
1081,Minnesota,MN,1975,Annual Change (%),.
1082,Minnesota,MN,1976,Annual Change (%),8.82
1083,Minnesota,MN,1977,Annual Change (%),11.47
1084,Minnesota,MN,1978,Annual Change (%),17.49
1085,Minnesota,MN,1979,Annual Change (%),14.50
1086,Minnesota,MN,1980,Annual Change (%),10.24
1087,Minnesota,MN,1981,Annual Change (%),1.81
1088,Minnesota,MN,1982,Annual Change (%),-12.65
1089,Minnesota,MN,1983,Annual Change (%),21.62
1090,Minnesota,MN,1984,Annual Change (%),2.49
1091,Minnesota,MN,1985,Annual Change (%),2.27
1092,Minnesota,MN,1986,Annual Change (%),3.08
1093,Minnesota,MN,1987,Annual Change (%),4.34
1094,Minnesota,MN,1988,Annual Change (%),3.86
1095,Minnesota,MN,1989,Annual Change (%),3.31
1096,Minnesota,MN,1990,Annual Change (%),1.28
1097,Minnesota,MN,1991,Annual Change (%),2.46
1098,Minnesota,MN,1992,Annual Change (%),2.08
1099,Minnesota,MN,1993,Annual Change (%),2.84
1100,Minnesota,MN,1994,Annual Change (%),3.40
1101,Minnesota,MN,1995,Annual Change (%),5.96
1102,Minnesota,MN,1996,Annual Change (%),4.14
1103,Minnesota,MN,1997,Annual Change (%),4.98
1104,Minnesota,MN,1998,Annual Change (%),4.64
1105,Minnesota,MN,1999,Annual Change (%),7.32
1106,Minnesota,MN,2000,Annual Change (%),11.96
1107,Minnesota,MN,2001,Annual Change (%),9.03
1108,Minnesota,MN,2002,Annual Change (%),7.73
1109,Minnesota,MN,2003,Annual Change (%),4.59
1110,Minnesota,MN,2004,Annual Change (%),8.55
1111,Minnesota,MN,2005,Annual Change (%),8.12
1112,Minnesota,MN,2006,Annual Change (%),2.73
1113,Minnesota,MN,2007,Annual Change (%),-0.78
1114,Minnesota,MN,2008,Annual Change (%),-4.42
1115,Minnesota,MN,2009,Annual Change (%),-6.14
1116,Minnesota,MN,2010,Annual Change (%),-6.06
1117,Minnesota,MN,2011,Annual Change (%),-5.34
1118,Minnesota,MN,2012,Annual Change (%),-1.48
1119,Minnesota,MN,2013,Annual Change (%),3.99
1120,Minnesota,MN,2014,Annual Change (%),5.71
1121,Minnesota,MN,2015,Annual Change (%),3.31
1122,Minnesota,MN,2016,Annual Change (%),4.62
1123,Minnesota,MN,2017,Annual Change (%),5.83
1124,Minnesota,MN,2018,Annual Change (%),5.66
1125,Minnesota,MN,2019,Annual Change (%),4.05
1126,Minnesota,MN,2020,Annual Change (%),2.55
1127,Minnesota,MN,2021,Annual Change (%),9.55
1128,Mississippi,MS,1975,Annual Change (%),.
1129,Mississippi,MS,1976,Annual Change (%),3.89
1130,Mississippi,MS,1977,Annual Change (%),4.18
1131,Mississippi,MS,1978,Annual Change (%),14.36
1132,Mississippi,MS,1979,Annual Change (%),12.37
1133,Mississippi,MS,1980,Annual Change (%),0.61
1134,Mississippi,MS,1981,Annual Change (%),3.48
1135,Mississippi,MS,1982,Annual Change (%),5.90
1136,Mississippi,MS,1983,Annual Change (%),2.85
1137,Mississippi,MS,1984,Annual Change (%),2.11
1138,Mississippi,MS,1985,Annual Change (%),5.71
1139,Mississippi,MS,1986,Annual Change (%),1.21
1140,Mississippi,MS,1987,Annual Change (%),-0.27
1141,Mississippi,MS,1988,Annual Change (%),-0.98
1142,Mississippi,MS,1989,Annual Change (%),0.82
1143,Mississippi,MS,1990,Annual Change (%),0.92
1144,Mississippi,MS,1991,Annual Change (%),1.31
1145,Mississippi,MS,1992,Annual Change (%),2.74
1146,Mississippi,MS,1993,Annual Change (%),2.25
1147,Mississippi,MS,1994,Annual Change (%),5.01
1148,Mississippi,MS,1995,Annual Change (%),4.87
1149,Mississippi,MS,1996,Annual Change (%),3.34
1150,Mississippi,MS,1997,Annual Change (%),3.80
1151,Mississippi,MS,1998,Annual Change (%),4.09
1152,Mississippi,MS,1999,Annual Change (%),4.34
1153,Mississippi,MS,2000,Annual Change (%),3.52
1154,Mississippi,MS,2001,Annual Change (%),4.20
1155,Mississippi,MS,2002,Annual Change (%),1.98
1156,Mississippi,MS,2003,Annual Change (%),1.86
1157,Mississippi,MS,2004,Annual Change (%),3.52
1158,Mississippi,MS,2005,Annual Change (%),5.43
1159,Mississippi,MS,2006,Annual Change (%),8.68
1160,Mississippi,MS,2007,Annual Change (%),4.43
1161,Mississippi,MS,2008,Annual Change (%),-0.24
1162,Mississippi,MS,2009,Annual Change (%),-2.84
1163,Mississippi,MS,2010,Annual Change (%),-3.61
1164,Mississippi,MS,2011,Annual Change (%),-2.07
1165,Mississippi,MS,2012,Annual Change (%),-0.71
1166,Mississippi,MS,2013,Annual Change (%),-0.26
1167,Mississippi,MS,2014,Annual Change (%),1.69
1168,Mississippi,MS,2015,Annual Change (%),2.45
1169,Mississippi,MS,2016,Annual Change (%),2.57
1170,Mississippi,MS,2017,Annual Change (%),2.11
1171,Mississippi,MS,2018,Annual Change (%),2.99
1172,Mississippi,MS,2019,Annual Change (%),3.10
1173,Mississippi,MS,2020,Annual Change (%),2.36
1174,Mississippi,MS,2021,Annual Change (%),8.37
1175,Missouri,MO,1975,Annual Change (%),.
1176,Missouri,MO,1976,Annual Change (%),5.80
1177,Missouri,MO,1977,Annual Change (%),9.43
1178,Missouri,MO,1978,Annual Change (%),15.12
1179,Missouri,MO,1979,Annual Change (%),11.05
1180,Missouri,MO,1980,Annual Change (%),5.93
1181,Missouri,MO,1981,Annual Change (%),-1.43
1182,Missouri,MO,1982,Annual Change (%),0.24
1183,Missouri,MO,1983,Annual Change (%),5.60
1184,Missouri,MO,1984,Annual Change (%),6.41
1185,Missouri,MO,1985,Annual Change (%),5.78
1186,Missouri,MO,1986,Annual Change (%),4.77
1187,Missouri,MO,1987,Annual Change (%),5.13
1188,Missouri,MO,1988,Annual Change (%),3.45
1189,Missouri,MO,1989,Annual Change (%),2.23
1190,Missouri,MO,1990,Annual Change (%),0.45
1191,Missouri,MO,1991,Annual Change (%),1.03
1192,Missouri,MO,1992,Annual Change (%),1.53
1193,Missouri,MO,1993,Annual Change (%),1.39
1194,Missouri,MO,1994,Annual Change (%),3.66
1195,Missouri,MO,1995,Annual Change (%),5.63
1196,Missouri,MO,1996,Annual Change (%),3.70
1197,Missouri,MO,1997,Annual Change (%),4.10
1198,Missouri,MO,1998,Annual Change (%),3.20
1199,Missouri,MO,1999,Annual Change (%),4.32
1200,Missouri,MO,2000,Annual Change (%),6.41
1201,Missouri,MO,2001,Annual Change (%),5.51
1202,Missouri,MO,2002,Annual Change (%),4.46
1203,Missouri,MO,2003,Annual Change (%),2.75
1204,Missouri,MO,2004,Annual Change (%),5.73
1205,Missouri,MO,2005,Annual Change (%),6.43
1206,Missouri,MO,2006,Annual Change (%),4.07
1207,Missouri,MO,2007,Annual Change (%),1.50
1208,Missouri,MO,2008,Annual Change (%),-1.61
1209,Missouri,MO,2009,Annual Change (%),-3.31
1210,Missouri,MO,2010,Annual Change (%),-3.55
1211,Missouri,MO,2011,Annual Change (%),-3.15
1212,Missouri,MO,2012,Annual Change (%),-1.17
1213,Missouri,MO,2013,Annual Change (%),0.35
1214,Missouri,MO,2014,Annual Change (%),2.57
1215,Missouri,MO,2015,Annual Change (%),3.38
1216,Missouri,MO,2016,Annual Change (%),4.11
1217,Missouri,MO,2017,Annual Change (%),4.50
1218,Missouri,MO,2018,Annual Change (%),5.03
1219,Missouri,MO,2019,Annual Change (%),4.61
1220,Missouri,MO,2020,Annual Change (%),3.48
1221,Missouri,MO,2021,Annual Change (%),10.98
1222,Montana,MT,1975,Annual Change (%),.
1223,Montana,MT,1976,Annual Change (%),10.66
1224,Montana,MT,1977,Annual Change (%),15.40
1225,Montana,MT,1978,Annual Change (%),20.91
1226,Montana,MT,1979,Annual Change (%),10.55
1227,Montana,MT,1980,Annual Change (%),4.91
1228,Montana,MT,1981,Annual Change (%),-0.27
1229,Montana,MT,1982,Annual Change (%),5.80
1230,Montana,MT,1983,Annual Change (%),-1.98
1231,Montana,MT,1984,Annual Change (%),12.23
1232,Montana,MT,1985,Annual Change (%),-0.58
1233,Montana,MT,1986,Annual Change (%),-2.74
1234,Montana,MT,1987,Annual Change (%),-4.28
1235,Montana,MT,1988,Annual Change (%),1.28
1236,Montana,MT,1989,Annual Change (%),2.73
1237,Montana,MT,1990,Annual Change (%),4.12
1238,Montana,MT,1991,Annual Change (%),6.30
1239,Montana,MT,1992,Annual Change (%),7.49
1240,Montana,MT,1993,Annual Change (%),9.36
1241,Montana,MT,1994,Annual Change (%),8.85
1242,Montana,MT,1995,Annual Change (%),7.80
1243,Montana,MT,1996,Annual Change (%),4.19
1244,Montana,MT,1997,Annual Change (%),3.11
1245,Montana,MT,1998,Annual Change (%),2.42
1246,Montana,MT,1999,Annual Change (%),2.48
1247,Montana,MT,2000,Annual Change (%),4.44
1248,Montana,MT,2001,Annual Change (%),4.63
1249,Montana,MT,2002,Annual Change (%),4.81
1250,Montana,MT,2003,Annual Change (%),4.59
1251,Montana,MT,2004,Annual Change (%),8.92
1252,Montana,MT,2005,Annual Change (%),12.54
1253,Montana,MT,2006,Annual Change (%),11.23
1254,Montana,MT,2007,Annual Change (%),6.48
1255,Montana,MT,2008,Annual Change (%),1.38
1256,Montana,MT,2009,Annual Change (%),-2.75
1257,Montana,MT,2010,Annual Change (%),-4.75
1258,Montana,MT,2011,Annual Change (%),-3.02
1259,Montana,MT,2012,Annual Change (%),0.89
1260,Montana,MT,2013,Annual Change (%),3.44
1261,Montana,MT,2014,Annual Change (%),4.77
1262,Montana,MT,2015,Annual Change (%),3.54
1263,Montana,MT,2016,Annual Change (%),3.42
1264,Montana,MT,2017,Annual Change (%),5.41
1265,Montana,MT,2018,Annual Change (%),5.86
1266,Montana,MT,2019,Annual Change (%),4.87
1267,Montana,MT,2020,Annual Change (%),4.29
1268,Montana,MT,2021,Annual Change (%),15.46
1269,Nebraska,NE,1975,Annual Change (%),.
1270,Nebraska,NE,1976,Annual Change (%),7.83
1271,Nebraska,NE,1977,Annual Change (%),10.79
1272,Nebraska,NE,1978,Annual Change (%),11.77
1273,Nebraska,NE,1979,Annual Change (%),12.01
1274,Nebraska,NE,1980,Annual Change (%),7.57
1275,Nebraska,NE,1981,Annual Change (%),0.72
1276,Nebraska,NE,1982,Annual Change (%),6.13
1277,Nebraska,NE,1983,Annual Change (%),1.58
1278,Nebraska,NE,1984,Annual Change (%),1.96
1279,Nebraska,NE,1985,Annual Change (%),0.60
1280,Nebraska,NE,1986,Annual Change (%),1.52
1281,Nebraska,NE,1987,Annual Change (%),0.30
1282,Nebraska,NE,1988,Annual Change (%),1.20
1283,Nebraska,NE,1989,Annual Change (%),3.08
1284,Nebraska,NE,1990,Annual Change (%),3.74
1285,Nebraska,NE,1991,Annual Change (%),3.00
1286,Nebraska,NE,1992,Annual Change (%),3.55
1287,Nebraska,NE,1993,Annual Change (%),4.54
1288,Nebraska,NE,1994,Annual Change (%),5.91
1289,Nebraska,NE,1995,Annual Change (%),6.83
1290,Nebraska,NE,1996,Annual Change (%),4.70
1291,Nebraska,NE,1997,Annual Change (%),5.43
1292,Nebraska,NE,1998,Annual Change (%),3.70
1293,Nebraska,NE,1999,Annual Change (%),4.00
1294,Nebraska,NE,2000,Annual Change (%),4.21
1295,Nebraska,NE,2001,Annual Change (%),3.64
1296,Nebraska,NE,2002,Annual Change (%),2.60
1297,Nebraska,NE,2003,Annual Change (%),1.73
1298,Nebraska,NE,2004,Annual Change (%),4.44
1299,Nebraska,NE,2005,Annual Change (%),4.48
1300,Nebraska,NE,2006,Annual Change (%),1.92
1301,Nebraska,NE,2007,Annual Change (%),1.09
1302,Nebraska,NE,2008,Annual Change (%),-0.51
1303,Nebraska,NE,2009,Annual Change (%),-0.74
1304,Nebraska,NE,2010,Annual Change (%),-0.91
1305,Nebraska,NE,2011,Annual Change (%),-0.48
1306,Nebraska,NE,2012,Annual Change (%),0.62
1307,Nebraska,NE,2013,Annual Change (%),2.35
1308,Nebraska,NE,2014,Annual Change (%),3.80
1309,Nebraska,NE,2015,Annual Change (%),3.91
1310,Nebraska,NE,2016,Annual Change (%),4.19
1311,Nebraska,NE,2017,Annual Change (%),5.76
1312,Nebraska,NE,2018,Annual Change (%),5.16
1313,Nebraska,NE,2019,Annual Change (%),5.09
1314,Nebraska,NE,2020,Annual Change (%),2.88
1315,Nebraska,NE,2021,Annual Change (%),10.45
1316,Nevada,NV,1975,Annual Change (%),.
1317,Nevada,NV,1976,Annual Change (%),10.64
1318,Nevada,NV,1977,Annual Change (%),14.19
1319,Nevada,NV,1978,Annual Change (%),20.18
1320,Nevada,NV,1979,Annual Change (%),18.77
1321,Nevada,NV,1980,Annual Change (%),5.70
1322,Nevada,NV,1981,Annual Change (%),12.03
1323,Nevada,NV,1982,Annual Change (%),5.26
1324,Nevada,NV,1983,Annual Change (%),-2.16
1325,Nevada,NV,1984,Annual Change (%),-0.16
1326,Nevada,NV,1985,Annual Change (%),1.22
1327,Nevada,NV,1986,Annual Change (%),3.67
1328,Nevada,NV,1987,Annual Change (%),1.14
1329,Nevada,NV,1988,Annual Change (%),2.46
1330,Nevada,NV,1989,Annual Change (%),4.93
1331,Nevada,NV,1990,Annual Change (%),7.47
1332,Nevada,NV,1991,Annual Change (%),5.61
1333,Nevada,NV,1992,Annual Change (%),3.13
1334,Nevada,NV,1993,Annual Change (%),1.88
1335,Nevada,NV,1994,Annual Change (%),1.45
1336,Nevada,NV,1995,Annual Change (%),4.12
1337,Nevada,NV,1996,Annual Change (%),2.38
1338,Nevada,NV,1997,Annual Change (%),2.54
1339,Nevada,NV,1998,Annual Change (%),2.29
1340,Nevada,NV,1999,Annual Change (%),1.37
1341,Nevada,NV,2000,Annual Change (%),3.66
1342,Nevada,NV,2001,Annual Change (%),6.39
1343,Nevada,NV,2002,Annual Change (%),6.27
1344,Nevada,NV,2003,Annual Change (%),6.20
1345,Nevada,NV,2004,Annual Change (%),26.53
1346,Nevada,NV,2005,Annual Change (%),24.28
1347,Nevada,NV,2006,Annual Change (%),8.79
1348,Nevada,NV,2007,Annual Change (%),-3.17
1349,Nevada,NV,2008,Annual Change (%),-18.58
1350,Nevada,NV,2009,Annual Change (%),-23.21
1351,Nevada,NV,2010,Annual Change (%),-14.22
1352,Nevada,NV,2011,Annual Change (%),-12.05
1353,Nevada,NV,2012,Annual Change (%),-1.07
1354,Nevada,NV,2013,Annual Change (%),15.05
1355,Nevada,NV,2014,Annual Change (%),17.51
1356,Nevada,NV,2015,Annual Change (%),9.71
1357,Nevada,NV,2016,Annual Change (%),9.35
1358,Nevada,NV,2017,Annual Change (%),9.45
1359,Nevada,NV,2018,Annual Change (%),12.84
1360,Nevada,NV,2019,Annual Change (%),6.41
1361,Nevada,NV,2020,Annual Change (%),3.16
1362,Nevada,NV,2021,Annual Change (%),15.79
1363,New Hampshire,NH,1975,Annual Change (%),.
1364,New Hampshire,NH,1976,Annual Change (%),2.31
1365,New Hampshire,NH,1977,Annual Change (%),11.06
1366,New Hampshire,NH,1978,Annual Change (%),7.53
1367,New Hampshire,NH,1979,Annual Change (%),20.30
1368,New Hampshire,NH,1980,Annual Change (%),6.72
1369,New Hampshire,NH,1981,Annual Change (%),5.03
1370,New Hampshire,NH,1982,Annual Change (%),6.55
1371,New Hampshire,NH,1983,Annual Change (%),4.95
1372,New Hampshire,NH,1984,Annual Change (%),15.52
1373,New Hampshire,NH,1985,Annual Change (%),16.82
1374,New Hampshire,NH,1986,Annual Change (%),18.52
1375,New Hampshire,NH,1987,Annual Change (%),12.76
1376,New Hampshire,NH,1988,Annual Change (%),4.86
1377,New Hampshire,NH,1989,Annual Change (%),0.37
1378,New Hampshire,NH,1990,Annual Change (%),-6.46
1379,New Hampshire,NH,1991,Annual Change (%),-8.45
1380,New Hampshire,NH,1992,Annual Change (%),-3.60
1381,New Hampshire,NH,1993,Annual Change (%),-1.15
1382,New Hampshire,NH,1994,Annual Change (%),-0.33
1383,New Hampshire,NH,1995,Annual Change (%),1.43
1384,New Hampshire,NH,1996,Annual Change (%),3.00
1385,New Hampshire,NH,1997,Annual Change (%),3.52
1386,New Hampshire,NH,1998,Annual Change (%),5.97
1387,New Hampshire,NH,1999,Annual Change (%),7.72
1388,New Hampshire,NH,2000,Annual Change (%),14.91
1389,New Hampshire,NH,2001,Annual Change (%),11.22
1390,New Hampshire,NH,2002,Annual Change (%),10.80
1391,New Hampshire,NH,2003,Annual Change (%),7.06
1392,New Hampshire,NH,2004,Annual Change (%),11.00
1393,New Hampshire,NH,2005,Annual Change (%),10.64
1394,New Hampshire,NH,2006,Annual Change (%),2.92
1395,New Hampshire,NH,2007,Annual Change (%),-1.69
1396,New Hampshire,NH,2008,Annual Change (%),-3.90
1397,New Hampshire,NH,2009,Annual Change (%),-7.46
1398,New Hampshire,NH,2010,Annual Change (%),-4.30
1399,New Hampshire,NH,2011,Annual Change (%),-3.21
1400,New Hampshire,NH,2012,Annual Change (%),-2.42
1401,New Hampshire,NH,2013,Annual Change (%),0.73
1402,New Hampshire,NH,2014,Annual Change (%),3.91
1403,New Hampshire,NH,2015,Annual Change (%),3.56
1404,New Hampshire,NH,2016,Annual Change (%),3.92
1405,New Hampshire,NH,2017,Annual Change (%),5.53
1406,New Hampshire,NH,2018,Annual Change (%),6.05
1407,New Hampshire,NH,2019,Annual Change (%),5.06
1408,New Hampshire,NH,2020,Annual Change (%),4.91
1409,New Hampshire,NH,2021,Annual Change (%),14.03
1410,New Jersey,NJ,1975,Annual Change (%),.
1411,New Jersey,NJ,1976,Annual Change (%),2.95
1412,New Jersey,NJ,1977,Annual Change (%),5.06
1413,New Jersey,NJ,1978,Annual Change (%),10.80
1414,New Jersey,NJ,1979,Annual Change (%),18.07
1415,New Jersey,NJ,1980,Annual Change (%),13.12
1416,New Jersey,NJ,1981,Annual Change (%),7.23
1417,New Jersey,NJ,1982,Annual Change (%),3.10
1418,New Jersey,NJ,1983,Annual Change (%),5.54
1419,New Jersey,NJ,1984,Annual Change (%),14.56
1420,New Jersey,NJ,1985,Annual Change (%),13.30
1421,New Jersey,NJ,1986,Annual Change (%),17.83
1422,New Jersey,NJ,1987,Annual Change (%),17.51
1423,New Jersey,NJ,1988,Annual Change (%),10.77
1424,New Jersey,NJ,1989,Annual Change (%),0.43
1425,New Jersey,NJ,1990,Annual Change (%),-3.35
1426,New Jersey,NJ,1991,Annual Change (%),-3.88
1427,New Jersey,NJ,1992,Annual Change (%),0.66
1428,New Jersey,NJ,1993,Annual Change (%),0.81
1429,New Jersey,NJ,1994,Annual Change (%),0.23
1430,New Jersey,NJ,1995,Annual Change (%),0.19
1431,New Jersey,NJ,1996,Annual Change (%),1.77
1432,New Jersey,NJ,1997,Annual Change (%),1.73
1433,New Jersey,NJ,1998,Annual Change (%),3.47
1434,New Jersey,NJ,1999,Annual Change (%),4.65
1435,New Jersey,NJ,2000,Annual Change (%),10.43
1436,New Jersey,NJ,2001,Annual Change (%),9.32
1437,New Jersey,NJ,2002,Annual Change (%),10.58
1438,New Jersey,NJ,2003,Annual Change (%),7.71
1439,New Jersey,NJ,2004,Annual Change (%),13.98
1440,New Jersey,NJ,2005,Annual Change (%),15.94
1441,New Jersey,NJ,2006,Annual Change (%),8.55
1442,New Jersey,NJ,2007,Annual Change (%),-0.16
1443,New Jersey,NJ,2008,Annual Change (%),-4.55
1444,New Jersey,NJ,2009,Annual Change (%),-8.21
1445,New Jersey,NJ,2010,Annual Change (%),-3.83
1446,New Jersey,NJ,2011,Annual Change (%),-4.19
1447,New Jersey,NJ,2012,Annual Change (%),-3.49
1448,New Jersey,NJ,2013,Annual Change (%),0.38
1449,New Jersey,NJ,2014,Annual Change (%),2.88
1450,New Jersey,NJ,2015,Annual Change (%),2.28
1451,New Jersey,NJ,2016,Annual Change (%),2.36
1452,New Jersey,NJ,2017,Annual Change (%),2.25
1453,New Jersey,NJ,2018,Annual Change (%),3.28
1454,New Jersey,NJ,2019,Annual Change (%),3.27
1455,New Jersey,NJ,2020,Annual Change (%),3.16
1456,New Jersey,NJ,2021,Annual Change (%),10.71
1457,New Mexico,NM,1975,Annual Change (%),.
1458,New Mexico,NM,1976,Annual Change (%),9.55
1459,New Mexico,NM,1977,Annual Change (%),15.00
1460,New Mexico,NM,1978,Annual Change (%),9.85
1461,New Mexico,NM,1979,Annual Change (%),14.95
1462,New Mexico,NM,1980,Annual Change (%),9.84
1463,New Mexico,NM,1981,Annual Change (%),12.86
1464,New Mexico,NM,1982,Annual Change (%),5.57
1465,New Mexico,NM,1983,Annual Change (%),5.02
1466,New Mexico,NM,1984,Annual Change (%),0.35
1467,New Mexico,NM,1985,Annual Change (%),1.58
1468,New Mexico,NM,1986,Annual Change (%),3.13
1469,New Mexico,NM,1987,Annual Change (%),-0.20
1470,New Mexico,NM,1988,Annual Change (%),-1.77
1471,New Mexico,NM,1989,Annual Change (%),1.85
1472,New Mexico,NM,1990,Annual Change (%),1.03
1473,New Mexico,NM,1991,Annual Change (%),3.15
1474,New Mexico,NM,1992,Annual Change (%),4.25
1475,New Mexico,NM,1993,Annual Change (%),5.79
1476,New Mexico,NM,1994,Annual Change (%),8.76
1477,New Mexico,NM,1995,Annual Change (%),7.79
1478,New Mexico,NM,1996,Annual Change (%),2.06
1479,New Mexico,NM,1997,Annual Change (%),1.99
1480,New Mexico,NM,1998,Annual Change (%),1.37
1481,New Mexico,NM,1999,Annual Change (%),1.14
1482,New Mexico,NM,2000,Annual Change (%),1.83
1483,New Mexico,NM,2001,Annual Change (%),3.57
1484,New Mexico,NM,2002,Annual Change (%),3.16
1485,New Mexico,NM,2003,Annual Change (%),3.58
1486,New Mexico,NM,2004,Annual Change (%),6.75
1487,New Mexico,NM,2005,Annual Change (%),12.00
1488,New Mexico,NM,2006,Annual Change (%),12.90
1489,New Mexico,NM,2007,Annual Change (%),5.58
1490,New Mexico,NM,2008,Annual Change (%),-1.01
1491,New Mexico,NM,2009,Annual Change (%),-4.97
1492,New Mexico,NM,2010,Annual Change (%),-4.20
1493,New Mexico,NM,2011,Annual Change (%),-4.28
1494,New Mexico,NM,2012,Annual Change (%),-2.79
1495,New Mexico,NM,2013,Annual Change (%),0.98
1496,New Mexico,NM,2014,Annual Change (%),1.20
1497,New Mexico,NM,2015,Annual Change (%),1.68
1498,New Mexico,NM,2016,Annual Change (%),2.78
1499,New Mexico,NM,2017,Annual Change (%),3.30
1500,New Mexico,NM,2018,Annual Change (%),3.79
1501,New Mexico,NM,2019,Annual Change (%),4.78
1502,New Mexico,NM,2020,Annual Change (%),4.62
1503,New Mexico,NM,2021,Annual Change (%),11.24
1504,New York,NY,1975,Annual Change (%),.
1505,New York,NY,1976,Annual Change (%),-4.35
1506,New York,NY,1977,Annual Change (%),9.85
1507,New York,NY,1978,Annual Change (%),2.94
1508,New York,NY,1979,Annual Change (%),13.32
1509,New York,NY,1980,Annual Change (%),14.98
1510,New York,NY,1981,Annual Change (%),4.78
1511,New York,NY,1982,Annual Change (%),10.68
1512,New York,NY,1983,Annual Change (%),7.17
1513,New York,NY,1984,Annual Change (%),13.77
1514,New York,NY,1985,Annual Change (%),15.44
1515,New York,NY,1986,Annual Change (%),14.76
1516,New York,NY,1987,Annual Change (%),13.28
1517,New York,NY,1988,Annual Change (%),8.90
1518,New York,NY,1989,Annual Change (%),1.35
1519,New York,NY,1990,Annual Change (%),-0.79
1520,New York,NY,1991,Annual Change (%),-1.32
1521,New York,NY,1992,Annual Change (%),1.17
1522,New York,NY,1993,Annual Change (%),-0.15
1523,New York,NY,1994,Annual Change (%),-1.76
1524,New York,NY,1995,Annual Change (%),-0.19
1525,New York,NY,1996,Annual Change (%),1.57
1526,New York,NY,1997,Annual Change (%),1.09
1527,New York,NY,1998,Annual Change (%),4.14
1528,New York,NY,1999,Annual Change (%),5.29
1529,New York,NY,2000,Annual Change (%),11.00
1530,New York,NY,2001,Annual Change (%),7.98
1531,New York,NY,2002,Annual Change (%),8.54
1532,New York,NY,2003,Annual Change (%),7.87
1533,New York,NY,2004,Annual Change (%),11.44
1534,New York,NY,2005,Annual Change (%),13.15
1535,New York,NY,2006,Annual Change (%),6.38
1536,New York,NY,2007,Annual Change (%),0.43
1537,New York,NY,2008,Annual Change (%),-2.41
1538,New York,NY,2009,Annual Change (%),-5.56
1539,New York,NY,2010,Annual Change (%),-2.95
1540,New York,NY,2011,Annual Change (%),-2.32
1541,New York,NY,2012,Annual Change (%),-2.34
1542,New York,NY,2013,Annual Change (%),0.76
1543,New York,NY,2014,Annual Change (%),2.54
1544,New York,NY,2015,Annual Change (%),2.83
1545,New York,NY,2016,Annual Change (%),3.27
1546,New York,NY,2017,Annual Change (%),4.75
1547,New York,NY,2018,Annual Change (%),5.42
1548,New York,NY,2019,Annual Change (%),3.72
1549,New York,NY,2020,Annual Change (%),3.25
1550,New York,NY,2021,Annual Change (%),9.21
1551,North Carolina,NC,1975,Annual Change (%),.
1552,North Carolina,NC,1976,Annual Change (%),4.65
1553,North Carolina,NC,1977,Annual Change (%),7.96
1554,North Carolina,NC,1978,Annual Change (%),10.70
1555,North Carolina,NC,1979,Annual Change (%),10.14
1556,North Carolina,NC,1980,Annual Change (%),8.59
1557,North Carolina,NC,1981,Annual Change (%),6.56
1558,North Carolina,NC,1982,Annual Change (%),2.26
1559,North Carolina,NC,1983,Annual Change (%),3.69
1560,North Carolina,NC,1984,Annual Change (%),8.05
1561,North Carolina,NC,1985,Annual Change (%),6.80
1562,North Carolina,NC,1986,Annual Change (%),4.54
1563,North Carolina,NC,1987,Annual Change (%),4.69
